"book","chapter","verse","edition","text"
"Gal","4","24","3.03","ὅστις@rrnnp εἰμί@vipa3s ἀλληγορέω@vpppnnp οὗτος@rdnfp γάρ@cc εἰμί@vipa3p ὁ@dnfp δύο@acnfpn (ἐπιδείκνυμι@vifa2s) [] εἷς@acnfsn μέν@x ἀπό@pg ὄρος@ngnsc Σινᾶ@ngnsp εἰς@pa ὁ@dafs συναγωγή@nafsc ὁ@dgmp Ἰουδαῖος@angmpn κατά@pa ὁ@dams νόμος@namsc γεννάω@vppanfs εἰς@pa δουλεία@nafsc"
"Eph","1","21","3.03","ἄλλος@ainfsn δέ@cc ὑπεράνω@pg πᾶς@aigfsn ἀρχή@ngfsc γεννάω@vppanfs καί@cc δύναμις@ngfsc καί@cc ἐξουσία@ngfsc καί@cc πᾶς@aignsn ὄνομα@ngnsc ὀνομάζω@vpppgns οὐ@b μόνος@b ἐν@pd ὁ@ddms αἰών@ndmsc οὗτος@rddms ἀλλά@cc καί@b ἐν@pd ὁ@ddms μέλλω@vppadms"
"Gal","4","26","3.03","εἰς@pa (ὅς@rrafs) [] ἐπαγγέλλομαι@viam1p ἅγιος@anafsn ἐκκλησία@nafsc ὅστις@rrnfs εἰμί@vipa3s μήτηρ@nnfsc ἐγώ@rpg-p"
"Gal","4","31","3.03","(διό@cc) [] ἀδελφός@nvmpc οὐ@b εἰμί@vipa1p παιδίσκη@ngfsc τέκνον@nnnpc ἀλλά@cc ὁ@dgfs ἐλεύθερος@angfsn"
"Gal","5","01a","3.03","ὅς@rrdfs ἐλευθερία@ndfsc (οὖν@cc) Χριστός@nnmsp ἐγώ@rpa-p ἐλευθερόω@viaa3s"
"Gal","5","01b","3.03","στήκω@vdpa2p καί@cc μή@x πάλιν@b ζυγός@ndmsc δουλεία@ngfsc ἐνέχω@vdpp2p"
"Gal","5","02","3.03","[ὁράω@i ἐγώ@rpn-s Παῦλος@nnmsp λέγω@vipa1s σύ@rpd-p ὅτι@cs ἐάν@cs περιτέμνω@vspp2p Χριστός@nnmsp σύ@rpa-p οὐδείς@rians ὠφελέω@vifa3s]"
"Gal","5","03","3.03","μαρτύρομαι@vipm1s δέ@cc πάλιν@b ὅτι@cs ἄνθρωπος@nnmsc περιτέμνω@vpxpnms ὀφειλέτης@nnmsc εἰμί@vipa3s ὅλος@anamsn ὁ@dams νόμος@namsc πληρόω@vnaa"
"Gal","5","04","3.03","[καταργέω@viap2p ἀπό@pg Χριστός@ngmsp ὅστις@rrnmp ἐν@pd νόμος@ndmsc δικαιόω@vipp2p ὁ@dgfs χάρις@ngfsc ἐκπίπτω@viaa2p]"
"Gal","5","05","3.03","[ἐγώ@rpn-p γάρ@cc πνεῦμα@ndnsc ἐκ@pg πίστις@ngfsc ἐλπίς@nafsc δικαιοσύνη@ngfsc ἀπεκδέχομαι@vipm1p]"
"Gal","5","06","3.03","ἐν@pd γάρ@cc Χριστός@ndmsp οὔτε@cc περιτομή@nnfsc τὶς@rians ἰσχύω@vipa3s οὔτε@cc ἀκροβυστία@nnfsc ἀλλά@cc πίστις@nnfsc διά@pg ἀγάπη@ngfsc ἐνεργέω@vppmnfs"
"Gal","5","07","3.03","[τρέχω@viia2p καλῶς@b τίς@rqnms σύ@rpa-p ἐγκόπτω@viaa3s ὁ@ddfs ἀλήθεια@ndfsc μή@x πείθω@vnpp]"
"Gal","5","08","3.03","[ὁ@dnfs πεισμονή@nnfsc οὐ@b ἐκ@pg ὁ@dgms καλέω@vppagms σύ@rpa-p]"
"Gal","5","09","3.03","μικρός@annfsn ζύμη@nnfsc ὅλος@anansn ὁ@dans φύραμα@nansc δολόω@vipa3s"
"Gal","5","10","3.03","[ἐγώ@rpn-s πείθω@vixa1s εἰς@pa σύ@rpa-p ἐν@pd κύριος@ndmsc ὅτι@cs οὐδείς@rians ἄλλος@aiansn φρονέω@vifa2p] ὁ@dnms δέ@cc ταράσσω@vppanms σύ@rpa-p ὁ@dans κρίμα@nansc βαστάζω@vifa3s ὅστις@rrnms ἄν@x εἰμί@vspa3s"
"Gal","5","11","3.03","[ἐγώ@rpn-s δέ@cc ἀδελφός@nvmpc εἰ@cs περιτομή@nafsc ἔτι@b κηρύσσω@vipa1s τίς@rqans ἔτι@b διώκω@vipp1s ἄρα@x καταργέω@vixp3s ὁ@dnns σκάνδαλον@nnnsc ὁ@dgms σταυρός@ngmsc]"
"Gal","5","12","3.03","ὄφελον@x καί@b ἀποκόπτω@vifm3p ὁ@dnmp ἀναστατόω@vppanmp σύ@rpa-p"
"Gal","5","13","3.03","[σύ@rpn-p γάρ@cc ἐπί@pd ἐλευθερία@ndfsc καλέω@viap2p ἀδελφός@nvmpc μόνος@b μή@x ὁ@dafs ἐλευθερία@nafsc εἰς@pa ἀφορμή@nafsc ὁ@ddfs σάρξ@ndfsc ἀλλά@cc διά@pg ὁ@dgfs ἀγάπη@ngfsc δουλεύω@vdpa2p ἀλλήλων@redmp]"
"Gal","5","14","3.03","ὁ@dnms γάρ@cc πᾶς@ainmsn νόμος@nnmsc ἐν@pd σύ@rpd-p πληρόω@vixp3s ἀγαπάω@vifa2s ὁ@dams πλησίον@b σύ@rpg-s ὡς@cs σεαυτοῦ@rxams"
